domain,google_indexed,archive_api_url
misscaffeina.com,1,http://web.archive.org/cdx/search/cdx?url=misscaffeina.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
hardysolar.com,1,http://web.archive.org/cdx/search/cdx?url=hardysolar.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
chinadiesel.com,1,http://web.archive.org/cdx/search/cdx?url=chinadiesel.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
appwatches.org,1,http://web.archive.org/cdx/search/cdx?url=appwatches.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
dressesnew.com,1,http://web.archive.org/cdx/search/cdx?url=dressesnew.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
ad-line.com,1,http://web.archive.org/cdx/search/cdx?url=ad-line.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
frappr.com,1,http://web.archive.org/cdx/search/cdx?url=frappr.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
gigapixelperu.com,1,http://web.archive.org/cdx/search/cdx?url=gigapixelperu.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
seo-services.us,0,http://web.archive.org/cdx/search/cdx?url=seo-services.usoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
gethugeservices.com,1,http://web.archive.org/cdx/search/cdx?url=gethugeservices.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
charlotterealestate.net,1,http://web.archive.org/cdx/search/cdx?url=charlotterealestate.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
minecraftserverfinder.com,1,http://web.archive.org/cdx/search/cdx?url=minecraftserverfinder.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
needled.com,1,http://web.archive.org/cdx/search/cdx?url=needled.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
christian.net,1,http://web.archive.org/cdx/search/cdx?url=christian.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
ari.net,1,http://web.archive.org/cdx/search/cdx?url=ari.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
phpfusion.org,1,http://web.archive.org/cdx/search/cdx?url=phpfusion.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
well-informed-sources.com,1,http://web.archive.org/cdx/search/cdx?url=well-informed-sources.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
fpgablog.com,1,http://web.archive.org/cdx/search/cdx?url=fpgablog.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
jiazhuang.net,1,http://web.archive.org/cdx/search/cdx?url=jiazhuang.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
puggle.org,1,http://web.archive.org/cdx/search/cdx?url=puggle.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
omnidate.com,0,http://web.archive.org/cdx/search/cdx?url=omnidate.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
leaseyourbody.com,1,http://web.archive.org/cdx/search/cdx?url=leaseyourbody.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
chicoyrita.com,1,http://web.archive.org/cdx/search/cdx?url=chicoyrita.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
sidebar.com,1,http://web.archive.org/cdx/search/cdx?url=sidebar.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
acneskinguide.com,1,http://web.archive.org/cdx/search/cdx?url=acneskinguide.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
thereviewzone.com,1,http://web.archive.org/cdx/search/cdx?url=thereviewzone.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
