domain,google_indexed,whois_arch_diff,domain_misuse
angcamgy.com,1,0,1
8dimensional.com,1,18,0
contenderministries.org,1,16,0
bjedu.com,1,3,0
blogswow.com,1,0,1
bullardnews.com,1,0,0
aboutnursingschools.com,1,0,0
2014airjordanfemme.com,0,4,1
bellfeed.com,1,4,1
acadiahealthmarket.com,1,0,0
biof.com,1,0,0
commercers.com,1,0,0
aquaplastics.org,1,12,1
artpassions.com,1,4,0
4ulike.com,1,0,1
benefitsuses.com,1,0,0
americaneducationfair.com,1,0,0
boomka.org,1,13,1
cops.org,1,0,0
besthongkong.com,1,0,0
bulletproofsoft.com,1,0,0
alatec.com,1,0,0
7elm5.com,0,5,1
ab4yb.com,1,0,0
brixencard.info,1,0,0
ceacuchile.com,1,0,0
anni.com,1,0,1
captchacreator.com,1,0,0
allshemes.com,1,0,0
anadir-sitio.com,1,11,0
brevardnightlife.com,1,5,0
appmarket.tv,1,0,0
carlynx.com,1,0,1
baybucks.com,1,3,0
carprice.com,1,0,0
bridesagency.com,1,2,0
arielis.com,1,0,0
cellular-news.com,1,0,0
athomegourmet.com,1,1,0
bcrab.com,1,0,1
convert.net,1,1,0
coloradomoms.com,1,3,0
al3ez.net,1,0,0
acddialogue.com,0,15,0
basmhcleaning.com,1,0,0
blackjackgamesonline.org,1,0,1
acquistapegasus.info,0,0,0
civilities.net,1,14,1
altcoin.info,1,-1,0
bigcinemas.com,1,18,0
boocompany.com,1,12,0
aqb.com,1,0,0
abc-of-mountaineering.com,1,0,0
20mbweb.com,1,6,1
consulatebrazil.org,1,-1,1
blueheroninn.com,1,0,1
blackanthem.com,1,0,0
aristocraft.com,1,0,1
bonjour.org.uk,1,16,1
albernioutpost.com,0,0,0
alphana.org,0,0,1
ameryfootball.org,0,0,0
appbrasil.net,0,0,0
artfairsinternational.com,0,0,1
artsnet.org,0,0,1
astra2d.com,0,0,1
aviondepapel.com,0,15,1
babyelandaily.com,0,0,1
bachard.org,0,6,0
backyardsportsblog.com,0,1,0
barefootmommies.com,0,0,1
basetrack.org,0,0,1
beeblebrox.org,0,11,0
bestpicever.com,0,0,0
beyondmissing.com,0,0,0
bikerlink.com,0,0,0
bikermatchmaking.com,0,1,0
biopact.com,0,0,1
bisitaguam.com,0,0,1
bizmedina.com,0,0,1
bollingercountychamber.com,0,17,1
boostup.org,0,0,1
brainsentry.com,0,0,1
bustindownthedoor.com,0,0,0
buyedmedsonline.com,0,3,1
buyrealviagraonline-cheap.com,0,1,1
cattoys.com,0,0,0
cheapfalconsjerseyssale.com,0,5,1
cheltenham2014.net,0,0,1
chinovnikam.net,0,0,0
cialiscoupon-onlinenorx.com,0,1,1
cobbq.com,0,0,0
cobrahealth.com,0,0,1
comjetusa.com,0,18,1
concordregister.com,0,0,0
contactpro.com,0,4,0
coquegalaxystar2.com,0,4,0
